车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
D3816,昆明南,2025-08-19,09:00,2025-08-19,09:00,-1.0
D3816,弥勒,2025-08-19,09:35,2025-08-19,09:38,-1.0
D3816,普者黑,2025-08-19,10:11,2025-08-19,10:15,-1.0
D3816,珠琳,2025-08-19,10:32,2025-08-19,10:34,-1.0
D3816,广南县,2025-08-19,10:51,2025-08-19,10:53,0.0
D3816,百色,2025-08-19,11:58,2025-08-19,12:02,0.0
D3816,田东北,2025-08-19,12:27,2025-08-19,12:29,0.0
D3816,平果,2025-08-19,12:49,2025-08-19,12:52,2.0
D3813,南宁,2025-08-19,13:31,2025-08-19,13:35,2.0
D3813,南宁东,2025-08-19,13:46,2025-08-19,13:51,4.0
D3813,宾阳,2025-08-19,14:16,2025-08-19,14:18,1.0
D3813,平南南,2025-08-19,15:01,2025-08-19,15:03,2.0
D3813,藤县,2025-08-19,15:22,2025-08-19,15:24,2.0
D3813,梧州南,2025-08-19,15:36,2025-08-19,15:38,1.0
D3813,南江口,2025-08-19,16:01,2025-08-19,16:07,1.0
D3813,肇庆东,2025-08-19,16:37,2025-08-19,16:39,1.0
D3813,佛山西,2025-08-19,16:59,2025-08-19,17:02,0.0
D3813,广州南,2025-08-19,17:23,,,1.0
,,,,,,
G3726,广州南,2025-08-19,09:02,2025-08-19,09:02,0.0
G3726,肇庆东,2025-08-19,09:36,2025-08-19,09:38,8.0
G3726,贺州,2025-08-19,10:24,2025-08-19,10:26,10.0
G3726,阳朔,2025-08-19,10:58,2025-08-19,11:04,11.0
G3726,桂林西,2025-08-19,11:24,2025-08-19,11:28,7.0
G3726,都匀东,2025-08-19,12:43,2025-08-19,12:48,
G3726,贵阳东,2025-08-19,13:24,2025-08-19,13:28,3.0
G3726,遵义,2025-08-19,14:15,2025-08-19,14:21,0.0
G3726,桐梓东,2025-08-19,14:43,2025-08-19,14:46,0.0
G3726,重庆西,2025-08-19,15:45,2025-08-19,15:54,0.0
G3726,重庆北,2025-08-19,16:18,2025-08-19,16:22,-3.0
G3726,梁平南,2025-08-19,17:14,2025-08-19,17:19,0.0
G3726,万州北,2025-08-19,17:40,2025-08-19,17:47,
G3726,奉节,2025-08-19,18:14,2025-08-19,18:16,0.0
G3726,巫山,2025-08-19,18:36,,,0.0
,,,,,,
G8464,广州东,2025-08-19,10:22,2025-08-19,10:22,0.0
G8464,五华,2025-08-19,11:53,2025-08-19,11:55,0.0
G8464,梅州西,2025-08-19,12:12,,,10.0
,,,,,,
