车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
D3816,昆明南,2026-07-17,09:00,2026-07-17,09:00,-1.0
D3816,弥勒,2026-07-17,09:35,2026-07-17,09:38,2.0
D3816,普者黑,2026-07-17,10:11,2026-07-17,10:15,3.0
D3816,珠琳,2026-07-17,10:32,2026-07-17,10:34,2.0
D3816,广南县,2026-07-17,10:51,2026-07-17,10:53,3.0
D3816,百色,2026-07-17,11:58,2026-07-17,12:02,-4.0
D3816,田东北,2026-07-17,12:27,2026-07-17,12:29,-2.0
D3816,平果,2026-07-17,12:49,2026-07-17,12:52,0.0
D3813,南宁,2026-07-17,13:31,2026-07-17,13:35,1.0
D3813,南宁东,2026-07-17,13:46,2026-07-17,13:51,1.0
D3813,宾阳,2026-07-17,14:16,2026-07-17,14:18,0.0
D3813,平南南,2026-07-17,15:01,2026-07-17,15:03,4.0
D3813,藤县,2026-07-17,15:22,2026-07-17,15:24,7.0
D3813,梧州南,2026-07-17,15:36,2026-07-17,15:38,6.0
D3813,南江口,2026-07-17,16:01,2026-07-17,16:07,6.0
D3813,肇庆东,2026-07-17,16:37,2026-07-17,16:40,7.0
D3813,佛山西,2026-07-17,17:01,2026-07-17,17:04,6.0
D3813,广州南,2026-07-17,17:25,,,3.0
,,,,,,
G3726,广州,2026-07-17,08:42,2026-07-17,08:42,-1.0
G3726,佛山西,2026-07-17,09:04,2026-07-17,09:16,0.0
G3726,肇庆东,2026-07-17,09:35,2026-07-17,09:37,0.0
G3726,贺州,2026-07-17,10:24,2026-07-17,10:26,0.0
G3726,阳朔,2026-07-17,10:58,2026-07-17,11:04,0.0
G3726,桂林西,2026-07-17,11:24,2026-07-17,11:28,0.0
G3726,都匀东,2026-07-17,12:43,2026-07-17,12:48,
G3726,贵阳东,2026-07-17,13:23,2026-07-17,13:31,0.0
G3726,遵义,2026-07-17,14:18,2026-07-17,14:20,0.0
G3726,娄山关南,2026-07-17,14:34,2026-07-17,14:36,0.0
G3726,重庆西,2026-07-17,15:43,2026-07-17,15:52,1.0
G3726,重庆北,2026-07-17,16:17,2026-07-17,16:22,-1.0
G3726,梁平南,2026-07-17,17:14,2026-07-17,17:19,0.0
G3726,万州北,2026-07-17,17:40,2026-07-17,17:44,
G3726,云阳,2026-07-17,17:57,2026-07-17,17:59,1.0
G3726,巫山,2026-07-17,18:33,,,0.0
,,,,,,
G1,北京南,2026-07-17,06:30,2026-07-17,06:30,0.0
G1,沧州西,2026-07-17,07:18,2026-07-17,07:20,-3.0
G1,德州东,2026-07-17,07:45,2026-07-17,07:47,0.0
G1,曲阜东,2026-07-17,08:34,2026-07-17,08:36,
G1,南京南,2026-07-17,10:13,2026-07-17,10:15,0.0
G1,苏州北,2026-07-17,10:59,2026-07-17,11:01,-1.0
G1,上海虹桥,2026-07-17,11:24,,,-3.0
,,,,,,
D1,北京西,2026-07-17,17:58,2026-07-17,17:58,0.0
D1,石家庄,2026-07-17,20:24,2026-07-17,20:30,3.0
D1,郑州,2026-07-17,23:59,2026-07-18,00:05,-16.0
D1,武昌,2026-07-18,04:44,2026-07-18,04:50,-10.0
D1,岳阳,2026-07-18,06:47,2026-07-18,06:51,-8.0
D1,长沙,2026-07-18,08:16,,,-7.0
,,,,,,
