车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
D3816,昆明南,2025-09-23,09:00,2025-09-23,09:00,-1.0
D3816,弥勒,2025-09-23,09:35,2025-09-23,09:38,-3.0
D3816,普者黑,2025-09-23,10:11,2025-09-23,10:15,-2.0
D3816,珠琳,2025-09-23,10:32,2025-09-23,10:34,-1.0
D3816,广南县,2025-09-23,10:51,2025-09-23,10:53,-1.0
D3816,百色,2025-09-23,11:58,2025-09-23,12:02,-4.0
D3816,田东北,2025-09-23,12:27,2025-09-23,12:29,-2.0
D3816,平果,2025-09-23,12:49,2025-09-23,12:52,1.0
D3813,南宁,2025-09-23,13:31,2025-09-23,13:35,0.0
D3813,南宁东,2025-09-23,13:46,2025-09-23,13:51,0.0
D3813,宾阳,2025-09-23,14:16,2025-09-23,14:18,0.0
D3813,平南南,2025-09-23,15:01,2025-09-23,15:03,0.0
D3813,藤县,2025-09-23,15:22,2025-09-23,15:24,0.0
D3813,梧州南,2025-09-23,15:36,2025-09-23,15:38,-2.0
D3813,南江口,2025-09-23,16:01,2025-09-23,16:07,-2.0
D3813,肇庆东,2025-09-23,16:37,2025-09-23,16:39,0.0
D3813,佛山西,2025-09-23,16:59,2025-09-23,17:02,-1.0
D3813,广州南,2025-09-23,17:23,,,2.0
,,,,,,
G3726,广州南,2025-09-23,09:02,2025-09-23,09:02,0.0
G3726,肇庆东,2025-09-23,09:36,2025-09-23,09:38,0.0
G3726,贺州,2025-09-23,10:24,2025-09-23,10:26,0.0
G3726,阳朔,2025-09-23,10:58,2025-09-23,11:04,0.0
G3726,桂林西,2025-09-23,11:24,2025-09-23,11:28,0.0
G3726,都匀东,2025-09-23,12:43,2025-09-23,12:48,
G3726,贵阳东,2025-09-23,13:24,2025-09-23,13:28,-1.0
G3726,遵义,2025-09-23,14:15,2025-09-23,14:21,0.0
G3726,桐梓东,2025-09-23,14:43,2025-09-23,14:46,0.0
G3726,重庆西,2025-09-23,15:45,2025-09-23,15:54,0.0
G3726,重庆北,2025-09-23,16:18,2025-09-23,16:22,0.0
G3726,梁平南,2025-09-23,17:14,2025-09-23,17:19,0.0
G3726,万州北,2025-09-23,17:40,2025-09-23,17:47,
G3726,奉节,2025-09-23,18:14,2025-09-23,18:16,0.0
G3726,巫山,2025-09-23,18:36,,,0.0
,,,,,,
G1,北京南,2025-09-23,07:00,2025-09-23,07:00,0.0
G1,天津南,2025-09-23,07:31,2025-09-23,07:33,0.0
G1,南京南,2025-09-23,10:24,2025-09-23,10:26,0.0
G1,上海,2025-09-23,11:29,,,0.0
,,,,,,
D1,北京西,2025-09-23,17:59,2025-09-23,17:59,0.0
D1,石家庄,2025-09-23,20:24,2025-09-23,20:30,3.0
D1,郑州,2025-09-23,23:59,2025-09-24,00:05,-2.0
D1,武昌,2025-09-24,04:44,2025-09-24,04:50,2.0
D1,岳阳,2025-09-24,06:47,2025-09-24,06:51,-1.0
D1,长沙,2025-09-24,08:16,,,1.0
,,,,,,
