车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
D3816,昆明南,2026-02-22,09:00,2026-02-22,09:00,0.0
D3816,弥勒,2026-02-22,09:35,2026-02-22,09:38,1.0
D3816,普者黑,2026-02-22,10:11,2026-02-22,10:15,1.0
D3816,珠琳,2026-02-22,10:32,2026-02-22,10:34,0.0
D3816,广南县,2026-02-22,10:51,2026-02-22,10:53,0.0
D3816,百色,2026-02-22,11:58,2026-02-22,12:02,-2.0
D3816,田东北,2026-02-22,12:27,2026-02-22,12:29,0.0
D3816,平果,2026-02-22,12:49,2026-02-22,12:52,0.0
D3813,南宁,2026-02-22,13:31,2026-02-22,13:35,0.0
D3813,南宁东,2026-02-22,13:46,2026-02-22,13:51,0.0
D3813,宾阳,2026-02-22,14:16,2026-02-22,14:18,0.0
D3813,平南南,2026-02-22,15:01,2026-02-22,15:03,0.0
D3813,藤县,2026-02-22,15:22,2026-02-22,15:24,0.0
D3813,梧州南,2026-02-22,15:36,2026-02-22,15:38,-2.0
D3813,南江口,2026-02-22,16:01,2026-02-22,16:07,-1.0
D3813,肇庆东,2026-02-22,16:37,2026-02-22,16:40,-1.0
D3813,佛山西,2026-02-22,17:01,2026-02-22,17:04,-3.0
D3813,广州南,2026-02-22,17:25,,,0.0
,,,,,,
,,,,,,
G1,北京南,2026-02-22,06:30,2026-02-22,06:30,
G1,沧州西,2026-02-22,07:18,2026-02-22,07:20,
G1,德州东,2026-02-22,07:45,2026-02-22,07:47,
G1,曲阜东,2026-02-22,08:34,2026-02-22,08:36,
G1,南京南,2026-02-22,10:13,2026-02-22,10:15,
G1,苏州北,2026-02-22,10:59,2026-02-22,11:01,
G1,上海虹桥,2026-02-22,11:24,,,
,,,,,,
D1,北京西,2026-02-22,17:59,2026-02-22,17:59,
D1,石家庄,2026-02-22,20:24,2026-02-22,20:30,0.0
D1,郑州,2026-02-22,23:59,2026-02-23,00:05,-4.0
D1,武昌,2026-02-23,04:44,2026-02-23,04:50,-14.0
D1,岳阳,2026-02-23,06:47,2026-02-23,06:51,-2.0
D1,长沙,2026-02-23,08:16,,,-2.0
,,,,,,
