车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
D3816,昆明南,2026-04-23,09:00,2026-04-23,09:00,0.0
D3816,弥勒,2026-04-23,09:35,2026-04-23,09:38,0.0
D3816,普者黑,2026-04-23,10:11,2026-04-23,10:15,-1.0
D3816,珠琳,2026-04-23,10:32,2026-04-23,10:34,0.0
D3816,广南县,2026-04-23,10:51,2026-04-23,10:53,0.0
D3816,百色,2026-04-23,11:58,2026-04-23,12:02,-4.0
D3816,田东北,2026-04-23,12:27,2026-04-23,12:29,-3.0
D3816,平果,2026-04-23,12:49,2026-04-23,12:52,-1.0
D3813,南宁,2026-04-23,13:31,2026-04-23,13:35,0.0
D3813,南宁东,2026-04-23,13:46,2026-04-23,13:51,0.0
D3813,宾阳,2026-04-23,14:16,2026-04-23,14:18,0.0
D3813,平南南,2026-04-23,15:01,2026-04-23,15:03,3.0
D3813,藤县,2026-04-23,15:22,2026-04-23,15:24,5.0
D3813,梧州南,2026-04-23,15:36,2026-04-23,15:38,4.0
D3813,南江口,2026-04-23,16:01,2026-04-23,16:07,1.0
D3813,肇庆东,2026-04-23,16:37,2026-04-23,16:40,3.0
D3813,佛山西,2026-04-23,17:01,2026-04-23,17:04,-1.0
D3813,广州南,2026-04-23,17:25,,,-5.0
,,,,,,
G3726,广州,2026-04-23,08:42,2026-04-23,08:42,0.0
G3726,佛山西,2026-04-23,09:04,2026-04-23,09:16,0.0
G3726,肇庆东,2026-04-23,09:35,2026-04-23,09:37,0.0
G3726,贺州,2026-04-23,10:24,2026-04-23,10:26,0.0
G3726,阳朔,2026-04-23,10:58,2026-04-23,11:04,0.0
G3726,桂林西,2026-04-23,11:24,2026-04-23,11:28,0.0
G3726,都匀东,2026-04-23,12:43,2026-04-23,12:48,
G3726,贵阳东,2026-04-23,13:24,2026-04-23,13:31,-1.0
G3726,遵义,2026-04-23,14:18,2026-04-23,14:22,0.0
G3726,娄山关南,2026-04-23,14:36,2026-04-23,14:38,0.0
G3726,重庆西,2026-04-23,15:45,2026-04-23,15:54,0.0
G3726,重庆北,2026-04-23,16:18,2026-04-23,16:22,-2.0
G3726,梁平南,2026-04-23,17:14,2026-04-23,17:19,0.0
G3726,万州北,2026-04-23,17:40,2026-04-23,17:47,
G3726,奉节,2026-04-23,18:14,2026-04-23,18:16,0.0
G3726,巫山,2026-04-23,18:36,,,0.0
,,,,,,
G1,北京南,2026-04-23,06:30,2026-04-23,06:30,0.0
G1,沧州西,2026-04-23,07:18,2026-04-23,07:20,0.0
G1,德州东,2026-04-23,07:45,2026-04-23,07:47,0.0
G1,曲阜东,2026-04-23,08:34,2026-04-23,08:36,
G1,南京南,2026-04-23,10:13,2026-04-23,10:15,-1.0
G1,苏州北,2026-04-23,10:59,2026-04-23,11:01,0.0
G1,上海虹桥,2026-04-23,11:24,,,-3.0
,,,,,,
D1,北京西,2026-04-23,17:59,2026-04-23,17:59,0.0
D1,石家庄,2026-04-23,20:24,2026-04-23,20:30,0.0
D1,郑州,2026-04-23,23:59,2026-04-24,00:05,12.0
D1,武昌,2026-04-24,04:44,2026-04-24,04:50,7.0
D1,岳阳,2026-04-24,06:47,2026-04-24,06:51,7.0
D1,长沙,2026-04-24,08:16,,,4.0
,,,,,,
