车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
K303,广州,2025-08-20,10:29,2025-08-20,10:29,0.0
K302,东莞东,2025-08-20,12:03,2025-08-20,12:11,-6.0
K302,惠州,2025-08-20,12:54,2025-08-20,12:58,-4.0
K302,河源,2025-08-20,13:48,2025-08-20,13:52,-4.0
K302,龙川,2025-08-20,14:47,2025-08-20,14:50,-4.0
K302,定南,2025-08-20,16:23,2025-08-20,16:28,-17.0
K302,信丰,2025-08-20,17:26,2025-08-20,17:33,-7.0
K302,赣州,2025-08-20,18:17,2025-08-20,18:24,-6.0
K302,吉安,2025-08-20,20:18,2025-08-20,20:30,-5.0
K302,南昌,2025-08-20,22:52,2025-08-20,23:24,45.0
K302,麻城,2025-08-21,03:36,2025-08-21,03:44,-1.0
K302,阜阳,2025-08-21,06:14,2025-08-21,06:30,-2.0
K302,涡阳,2025-08-21,07:21,2025-08-21,07:26,15.0
K302,淮北,2025-08-21,08:28,2025-08-21,08:33,4.0
K302,萧县,2025-08-21,08:56,2025-08-21,09:01,3.0
K302,徐州,2025-08-21,09:47,,,0.0
,,,,,,
G1,北京南,2025-08-20,07:00,2025-08-20,07:00,0.0
G1,天津南,2025-08-20,07:31,2025-08-20,07:33,0.0
G1,南京南,2025-08-20,10:24,2025-08-20,10:26,0.0
G1,上海,2025-08-20,11:29,,,-1.0
,,,,,,
G10,上海虹桥,2025-08-20,10:00,2025-08-20,10:00,0.0
G10,南京南,2025-08-20,10:59,2025-08-20,11:01,0.0
G10,济南西,2025-08-20,12:58,2025-08-20,13:00,1.0
G10,北京南,2025-08-20,14:26,,,0.0
,,,,,,
