车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
D3816,昆明南,2025-10-25,09:00,2025-10-25,09:00,-1.0
D3816,弥勒,2025-10-25,09:35,2025-10-25,09:38,-2.0
D3816,普者黑,2025-10-25,10:11,2025-10-25,10:15,0.0
D3816,珠琳,2025-10-25,10:32,2025-10-25,10:34,-1.0
D3816,广南县,2025-10-25,10:51,2025-10-25,10:53,-2.0
D3816,百色,2025-10-25,11:58,2025-10-25,12:02,-3.0
D3816,田东北,2025-10-25,12:27,2025-10-25,12:29,-1.0
D3816,平果,2025-10-25,12:49,2025-10-25,12:52,0.0
D3813,南宁,2025-10-25,13:31,2025-10-25,13:35,-1.0
D3813,南宁东,2025-10-25,13:46,2025-10-25,13:51,-2.0
D3813,宾阳,2025-10-25,14:16,2025-10-25,14:18,-1.0
D3813,平南南,2025-10-25,15:01,2025-10-25,15:03,0.0
D3813,藤县,2025-10-25,15:22,2025-10-25,15:24,-1.0
D3813,梧州南,2025-10-25,15:36,2025-10-25,15:38,0.0
D3813,南江口,2025-10-25,16:01,2025-10-25,16:07,-2.0
D3813,肇庆东,2025-10-25,16:37,2025-10-25,16:39,-1.0
D3813,佛山西,2025-10-25,16:59,2025-10-25,17:02,0.0
D3813,广州南,2025-10-25,17:23,,,-3.0
,,,,,,
G3726,广州南,2025-10-25,09:02,2025-10-25,09:02,0.0
G3726,肇庆东,2025-10-25,09:36,2025-10-25,09:38,0.0
G3726,贺州,2025-10-25,10:24,2025-10-25,10:26,2.0
G3726,阳朔,2025-10-25,10:58,2025-10-25,11:04,2.0
G3726,桂林西,2025-10-25,11:24,2025-10-25,11:28,0.0
G3726,都匀东,2025-10-25,12:43,2025-10-25,12:48,
G3726,贵阳东,2025-10-25,13:24,2025-10-25,13:28,0.0
G3726,遵义,2025-10-25,14:15,2025-10-25,14:17,0.0
G3726,桐梓东,2025-10-25,14:39,2025-10-25,14:46,0.0
G3726,重庆西,2025-10-25,15:45,2025-10-25,15:54,0.0
G3726,重庆北,2025-10-25,16:18,2025-10-25,16:22,0.0
G3726,梁平南,2025-10-25,17:14,2025-10-25,17:19,0.0
G3726,万州北,2025-10-25,17:40,2025-10-25,17:47,
G3726,奉节,2025-10-25,18:14,2025-10-25,18:16,0.0
G3726,巫山,2025-10-25,18:36,,,0.0
,,,,,,
G1,北京南,2025-10-25,07:00,2025-10-25,07:00,0.0
G1,天津南,2025-10-25,07:31,2025-10-25,07:33,-1.0
G1,南京南,2025-10-25,10:24,2025-10-25,10:26,0.0
G1,上海,2025-10-25,11:29,,,0.0
,,,,,,
D1,北京西,2025-10-25,17:59,2025-10-25,17:59,0.0
D1,石家庄,2025-10-25,20:24,2025-10-25,20:30,1.0
D1,郑州,2025-10-25,23:59,2025-10-26,00:05,-6.0
D1,武昌,2025-10-26,04:44,2025-10-26,04:50,-12.0
D1,岳阳,2025-10-26,06:47,2025-10-26,06:51,5.0
D1,长沙,2025-10-26,08:16,,,-2.0
,,,,,,
