车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
G339,北京西,2026-01-20,12:26,2026-01-20,12:26,0
G339,石家庄,2026-01-20,13:37,2026-01-20,13:42,-5
G339,鹤壁东,2026-01-20,14:43,2026-01-20,15:00,1
G339,新乡东,2026-01-20,15:16,2026-01-20,15:18,3
G339,郑州东,2026-01-20,15:38,2026-01-20,15:42,2
G339,许昌东,2026-01-20,16:04,2026-01-20,16:10,30
G339,漯河西,2026-01-20,16:26,2026-01-20,16:28,19
G339,驻马店西,2026-01-20,16:46,2026-01-20,16:48,20
G339,信阳东,2026-01-20,17:13,2026-01-20,17:16,31
G339,武汉,2026-01-20,18:00,2026-01-20,18:20,57
G339,咸宁北,2026-01-20,18:44,2026-01-20,18:46,46
G339,岳阳东,2026-01-20,19:17,2026-01-20,19:19,60
G339,长沙南,2026-01-20,19:54,2026-01-20,19:57,68
G339,衡阳东,2026-01-20,20:35,2026-01-20,20:37,79
G339,耒阳西,2026-01-20,20:54,2026-01-20,21:07,90
G339,郴州西,2026-01-20,21:28,2026-01-20,21:30,77
G339,广州南,2026-01-20,22:52,,,84
